Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,1.929688,1.9375,1.925781,62.0,0.225163,1174400
1970-01-05,1.9375,1.96875,1.933594,63.0,0.228795,1881600
1970-01-06,1.96875,1.972656,1.945313,62.875,0.228341,1232000
1970-01-07,1.964844,1.964844,1.949219,62.5,0.226979,918400
1970-01-08,1.953125,1.96875,1.945313,62.625,0.227433,1075200
1970-01-09,1.957031,1.964844,1.949219,62.875,0.228341,1072000
1970-01-12,1.964844,1.96875,1.949219,62.375,0.226525,892800
1970-01-13,1.949219,1.960938,1.941406,62.125,0.225617,1248000
1970-01-14,1.941406,1.945313,1.933594,62.25,0.226071,1328000
1970-01-15,1.945313,1.945313,1.921875,61.625,0.223801,1206400
1970-01-16,1.925781,1.9375,1.925781,61.875,0.224709,1100800
1970-01-19,1.933594,1.9375,1.921875,61.875,0.224709,700800
1970-01-20,1.933594,1.945313,1.925781,61.625,0.223801,1241600
1970-01-21,1.925781,1.9375,1.921875,61.5,0.223348,841600
1970-01-22,1.921875,1.925781,1.90625,61.125,0.221986,1382400
1970-01-23,1.910156,1.910156,1.878906,60.25,0.218808,1878400
1970-01-26,1.882813,1.890625,1.875,60.375,0.219262,1043200
1970-01-27,1.878906,1.878906,1.859375,60.0,0.2179,2054400
1970-01-28,1.875,1.875,1.8125,58.125,0.211091,1488000
1970-01-29,1.800781,1.800781,1.777344,56.875,0.206551,1548800
1970-01-30,1.773438,1.773438,1.75,56.375,0.204735,2172800
1970-02-02,1.761719,1.761719,1.75,56.0,0.203373,2755200
1970-02-03,1.75,1.796875,1.742188,57.125,0.207459,2572800
1970-02-04,1.785156,1.789063,1.773438,57.0,0.207005,2003200
1970-02-05,1.78125,1.78125,1.773438,56.875,0.206551,1676800
1970-02-06,1.753906,1.753906,1.730469,55.5,0.201558,1635200
1970-02-09,1.734375,1.742188,1.722656,55.25,0.20065,1398400
1970-02-10,1.71875,1.71875,1.648438,53.25,0.193386,2777600
1970-02-11,1.664063,1.675781,1.640625,53.625,0.194748,2316800
1970-02-12,1.671875,1.671875,1.609375,52.25,0.189755,2611200
1970-02-13,1.632813,1.636719,1.609375,52.0,0.188847,2380800
1970-02-16,1.585938,1.585938,1.566406,50.375,0.182945,3497600
1970-02-17,1.574219,1.574219,1.558594,50.125,0.182037,3078400
1970-02-18,1.585938,1.664063,1.585938,52.875,0.192024,4438400
1970-02-19,1.675781,1.707031,1.675781,53.625,0.194748,3376000
